Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,18.38389778137207,7.61543083190918,71.38248443603516,-5.480604088993159,-10.53901411634502,72.62310755918193,0.42681232,21.97134,-5.247702,59.519405,-36.045364,-15.000033,-1.9456476,-9.25751,7.2701144,49.92002,-34.53086,12.679266,-1.8637227,-0.9953249,2.1583233,3.744028,12.175171,-34.26727,61.669727,6.3373494,5.089865,17.07251,13.808075,-17.380499,23.999592,59.21053,18.698778,-0.48625058,-15.257547
13,18.96930503845215,7.6703057289123535,70.24143981933594,-6.819191563122508,-9.023839948423202,73.17386635537545,-4.24934,23.179722,-9.851538,65.70838,-36.647697,-15.000033,-2.4507499,-7.58072,6.2812424,49.9894,-36.789257,13.055811,1.1812624,0.96820277,1.0658978,3.4131458,15.619242,-22.286394,75.71244,-15.284229,3.8664742,21.396898,8.887256,-16.450937,18.128187,72.671906,34.49583,-1.2759911,-18.110281
14,19.32141876220703,7.765163421630859,70.36224365234375,-7.1574287385661455,-7.382862732637901,74.54771612518836,-6.80103,22.660711,-12.421954,67.58625,-34.247444,-15.000033,-1.9858304,-6.38145,6.2948174,47.459503,-36.16632,13.609568,3.262742,2.0302484,0.46464178,3.3878152,23.23174,-10.683262,74.57798,-31.843563,0.29443333,27.682354,7.348131,-20.075104,8.107033,71.244385,47.394417,-4.5466743,-24.016483
15,19.48041534423828,7.873617172241211,71.22531127929688,-5.627440222553034,-6.174149132372782,76.25898361769366,-7.5692477,21.534626,-11.229547,66.40087,-31.56776,-14.291177,-1.3947923,-7.843581,6.158219,45.227352,-33.88989,14.666157,3.2873683,1.3273009,3.7197042,11.762267,32.813347,8.123443,53.87633,-37.07555,-0.7276055,33.830574,11.352228,-27.276001,-7.528287,50.43032,46.961384,-3.9455495,-27.47832
16,19.519323348999023,7.926413536071777,72.52193450927734,-2.123288675211283,-5.615431824986045,77.77446471072807,-5.310924,18.464966,-8.162126,60.9531,-32.14753,-14.956317,0.37946644,-13.165245,3.7185664,41.612186,-30.711557,15.000033,3.8331695,0.1529823,6.1050196,17.273039,38.08304,32.64662,21.925373,-31.724411,-2.582568,39.092686,18.50016,-32.797768,-27.984186,16.818392,33.88818,-2.6478813,-33.186325
17,19.299589157104492,7.894203186035156,73.95797729492188,0.16607292506981702,-6.718000526118152,80.72785377570159,-3.0408106,17.45931,-4.93506,56.05768,-29.843208,-14.02212,2.5128307,-17.084888,0.8235507,40.763767,-26.082949,15.000033,3.7759483,0.5361377,5.999303,13.452794,40.534645,45.62923,2.089354,-22.117327,-1.683907,42.98712,18.925495,-36.36852,-41.222107,-6.564417,26.454926,-1.1566423,-36.511837
18,18.89691925048828,7.831339359283447,74.53895568847656,1.6758605523050965,-5.235319983023126,81.46675037413823,-0.70493585,16.034885,-2.3041854,49.126034,-30.783194,-13.965376,1.7047113,-20.227615,-1.2723199,39.5032,-22.739666,15.000033,3.6105163,1.062794,4.958626,7.696922,42.444485,53.381355,-14.078072,-16.375252,-3.598176,43.96235,14.672187,-39.276325,-50.620205,-24.48096,19.52423,-1.6818188,-38.25313
19,18.378681182861328,7.68300199508667,74.63963317871094,3.4863967321933726,-3.7700217883409866,81.5900937807803,0.8541133,12.936061,-1.8260723,44.716385,-32.344803,-13.919535,-1.2280878,-23.666164,-2.2145934,41.980698,-19.669725,15.000033,3.5473225,1.4081956,3.083774,0.13199249,43.77758,53.889618,-28.434958,-10.453466,-8.0459585,43.45356,6.7776656,-41.968403,-52.929703,-41.18918,13.504011,-7.932371,-36.365204
20,17.777936935424805,7.457423210144043,73.80844116210938,4.6312737206491255,-3.639110098419028,81.51237860710995,-0.034173157,10.480162,-2.2513404,47.47118,-36.29158,-12.503923,-4.9849024,-25.623423,-0.5309514,47.878174,-20.996778,15.000033,3.4219847,1.7728208,2.0011652,-5.152143,44.312477,50.647377,-35.41832,-7.256244,-13.403705,42.405354,-2.0537744,-44.230335,-48.413807,-48.126926,13.242584,-13.022082,-30.806484
21,17.14217185974121,7.198849201202393,72.0862808227539,5.561744677064876,-4.304347941277296,80.25222132622564,-2.782947,7.01442,-4.2845516,56.187008,-42.2483,-10.20575,-10.525539,-28.51635,1.5700392,56.879883,-25.251045,15.000033,3.7017233,2.1487832,2.0894172,-9.389491,43.525997,41.796215,-42.258488,-5.504623,-22.290266,38.914505,-10.48133,-45.840134,-36.043434,-52.615513,12.889898,-20.289408,-22.15245
22,16.536279678344727,7.0008649826049805,70.45860290527344,5.953954630792938,-4.238804971323443,79.16612084106457,-5.895123,5.4072547,-4.6061687,63.932316,-45.033585,-9.261965,-15.4973755,-31.656805,2.1923864,63.581703,-26.984465,15.000033,3.798796,2.9789314,2.2625692,-12.4705,42.676056,33.44189,-49.494373,1.4638976,-23.994202,29.400705,-15.645489,-47.60366,-25.613455,-54.442112,8.226892,-21.246267,-13.38569
23,16.04241943359375,6.890227794647217,69.64063262939453,5.578956130626064,-5.679431150036158,79.32143768447037,-6.263056,6.029139,-4.2475605,67.97974,-47.01153,-9.505826,-16.148008,-32.733295,2.1695573,66.93906,-28.60265,15.000033,2.7804782,3.4382906,2.552126,-11.085261,44.096527,38.725796,-53.53589,2.8807387,-23.465563,27.168037,-18.491169,-51.652218,-30.30073,-53.46834,8.04257,-21.424423,-12.704129
24,15.729305267333984,6.921265125274658,69.81723022460938,4.189417499359271,-6.327120785476094,81.1132875298014,-5.8037734,8.92444,-3.65721,67.43159,-47.193592,-10.617408,-14.341479,-31.040974,0.8544502,66.59245,-29.036673,15.000033,1.3949895,3.3695662,3.0269487,-6.480624,47.44269,54.283928,-52.593815,-2.7043824,-22.005112,30.661783,-15.726312,-57.46824,-48.062473,-48.402393,14.714249,-18.857351,-16.902542
25,15.53035831451416,7.095065116882324,71.84981536865234,2.1333376815157616,-6.800128091248887,83.1937567027588,-2.5206254,13.300859,-1.4455073,59.545647,-44.46473,-12.3089075,-9.115401,-26.973085,-1.4902301,59.790436,-27.882927,15.000033,1.2748039,2.644275,4.096773,2.5837858,52.159992,69.744736,-38.796288,-10.0292425,-13.157445,41.800514,-0.11796057,-63.371685,-70.05643,-30.714478,19.999384,-9.953577,-35.170483
26,15.493657112121582,7.348223686218262,74.55733489990234,0.41996238920245527,-5.623020176887669,85.19822139450959,0.61241657,16.365786,1.3878444,48.10845,-38.443325,-13.47523,-4.1789346,-23.74312,-4.7464867,49.487556,-24.11494,15.000033,1.5863701,2.0654197,4.9725575,10.386952,56.873867,74.392815,-22.151642,-14.351453,-7.9797626,41.901005,14.629333,-67.65655,-80.374504,-11.902798,26.314056,-6.6109314,-38.373283
27,15.634256362915039,7.599727153778076,76.79039001464844,-0.6538530165687283,-3.8635039472866084,86.69600159206239,3.2946093,17.45077,3.5769584,37.26997,-31.748713,-14.351725,0.68492097,-20.877716,-7.169831,37.998028,-19.216244,15.000033,1.3136395,1.3573989,5.786498,17.615622,61.515385,72.890755,-5.3108287,-15.978774,-4.044329,35.92272,23.310762,-70.85636,-80.985344,4.4293594,31.633615,-3.4153972,-35.305798
28,15.917186737060547,7.80276346206665,78.12191772460938,-1.9726946263119036,-1.8218975754370428,88.73146981579244,3.1838815,17.688063,2.6473613,31.949373,-25.588337,-14.282726,4.3997264,-17.752752,-8.523611,29.523098,-15.081772,15.000033,0.30759847,0.5723475,6.1065135,30.848347,65.16157,60.16995,10.709121,1.4685403,0.4689964,23.200686,27.201101,-72.67633,-65.6327,15.372279,17.235815,1.8157502,-21.469444
29,16.331035614013672,7.91349983215332,78.84242248535156,-2.064321020112408,-1.9724850739789983,90.43347565639905,3.3240366,16.097906,-0.51363754,30.120975,-22.955711,-14.970276,6.1535153,-17.136755,-9.658017,28.190886,-15.262878,15.000033,-1.4043874,-0.45897022,6.256106,37.808193,67.88338,41.723682,17.706932,19.880857,4.8868055,3.5234072,26.493216,-72.93295,-43.91169,14.971796,-0.42328364,0.903033,-1.923937
